# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 4018059897
#
# Overhead  Command          Shared Object          Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ...............  .....................  ................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     1.75%  helper-hash-clo  libbpftime-agent.so    [.] bpftime::bpftime_shm::bpf_map_lookup_elem(int, void const*, bool) const [clone .constprop.0]
     1.55%  helper-hash-clo  libbpftime-agent.so    [.] boost::unordered::detail::prime_fmod_size<void>::position(unsigned long, unsigned long)
     1.46%  helper-hash-clo  libbpftime-agent.so    [.] bpftime::bpf_map_handler::map_update_elem(void const*, void const*, unsigned long, bool) const [clone .constprop.0]
     1.20%  helper-hash-clo  libbpftime-agent.so    [.] spdlog::logger::log(spdlog::source_loc, spdlog::level::level_enum, fmt::v11::basic_string_view<char>)
     0.93%  helper-hash-clo  libbpftime-agent.so    [.] bpftime::fix_size_hash_map_impl::elem_lookup(void const*)
     0.81%  helper-hash-clo  libc.so.6              [.] __aarch64_swp4_acq
     0.55%  helper-hash-clo  libc.so.6              [.] memcmp
     0.47%  helper-hash-clo  libbpftime-agent.so    [.] spdlog::default_logger_raw()
     0.34%  helper-hash-clo  libbpftime-agent.so    [.] bpftime_map_update_elem_helper
     0.26%  helper-hash-clo  libc.so.6              [.] pthread_spin_lock@@GLIBC_2.34


#
# (Cannot load tips.txt file, please install perf!)
#
